":@computed_region_43an_4dx5",":@computed_region_9yqb_tdyd","area_name","area_type","city","county","grade_category","location_1","location_1_address","location_1_city","location_1_state","location_1_zip","location_code","obese_1","obese_2","overweight_1","overweight_2","overweight_or_obese_1","overweight_or_obese_2","region","school_years","state","street_address","zip_code"
"44","2030","ALBANY CITY SCHOOL DISTRICT","SCHOOL DISTRICT","ALBANY","ALBANY","DISTRICT TOTAL","POINT (-73.7547 42.6535)",,,,,"010100","354","0.268","184","0.139","538","0.407","NORTHEASTERN NEW YORK","2010-2012","NY","ACADEMY PARK","12207"
"44","2030","ALBANY CITY SCHOOL DISTRICT","SCHOOL DISTRICT","ALBANY","ALBANY","ELEMENTARY","POINT (-73.7547 42.6535)",,,,,"010100","67","0.139","94","0.195","161","0.334","NORTHEASTERN NEW YORK","2010-2012","NY","ACADEMY PARK","12207"
"44","2030","ALBANY CITY SCHOOL DISTRICT","SCHOOL DISTRICT","ALBANY","ALBANY","MIDDLE/HIGH","POINT (-73.7547 42.6535)",,,,,"010100","184","0.218","216","0.256","400","0.474","NORTHEASTERN NEW YORK","2010-2012","NY","ACADEMY PARK","12207"
"1150","2030","BERNE KNOX WESTERLO CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","BERNE","ALBANY","DISTRICT TOTAL","POINT (-74.1435 42.6253)",,,,,"010201","56","0.199","39","0.138","95","0.337","NORTHEASTERN NEW YORK","2010-2012","NY","1738 HELDERBERG TRAIL","12023"
"1150","2030","BERNE KNOX WESTERLO CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","BERNE","ALBANY","ELEMENTARY","POINT (-74.1435 42.6253)",,,,,"010201","32","0.206","14","0.09","46","0.297","NORTHEASTERN NEW YORK","2010-2012","NY","1738 HELDERBERG TRAIL","12023"
"1150","2030","BERNE KNOX WESTERLO CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","BERNE","ALBANY","MIDDLE/HIGH","POINT (-74.1435 42.6253)",,,,,"010201","24","0.194","22","0.177","46","0.371","NORTHEASTERN NEW YORK","2010-2012","NY","1738 HELDERBERG TRAIL","12023"
"1180","2030","BETHLEHEM CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","DELMAR","ALBANY","DISTRICT TOTAL","POINT (-73.8345 42.6203)",,,,,"010306","208","0.134","207","0.133","415","0.267","NORTHEASTERN NEW YORK","2010-2012","NY","90 ADAMS PL","12054"
"1180","2030","BETHLEHEM CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","DELMAR","ALBANY","ELEMENTARY","POINT (-73.8345 42.6203)",,,,,"010306","115","0.132","124","0.143","239","0.275","NORTHEASTERN NEW YORK","2010-2012","NY","90 ADAMS PL","12054"
"1180","2030","BETHLEHEM CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","DELMAR","ALBANY","MIDDLE/HIGH","POINT (-73.8345 42.6203)",,,,,"010306","93","0.136","83","0.122","176","0.258","NORTHEASTERN NEW YORK","2010-2012","NY","90 ADAMS PL","12054"
"1405","2030","RAVENA COEYMANS SELKIRK CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","SELKIRK","ALBANY","DISTRICT TOTAL","POINT (-73.8005 42.5318)",,,,,"010402","128","0.211","116","0.191","244","0.402","NORTHEASTERN NEW YORK","2010-2012","NY","26 THATCHER ST","12158"
"1405","2030","RAVENA COEYMANS SELKIRK CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","SELKIRK","ALBANY","ELEMENTARY","POINT (-73.8005 42.5318)",,,,,"010402","71","0.206","63","0.183","134","0.388","NORTHEASTERN NEW YORK","2010-2012","NY","26 THATCHER ST","12158"
"1405","2030","RAVENA COEYMANS SELKIRK CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","SELKIRK","ALBANY","MIDDLE/HIGH","POINT (-73.8005 42.5318)",,,,,"010402","57","0.21","53","0.195","110","0.404","NORTHEASTERN NEW YORK","2010-2012","NY","26 THATCHER ST","12158"
"1176","2030","COHOES CITY SCHOOL DISTRICT","SCHOOL DISTRICT","COHOES","ALBANY","DISTRICT TOTAL","POINT (-73.7112 42.7714)",,,,,"010500","144","0.243","94","0.159","238","0.401","NORTHEASTERN NEW YORK","2010-2012","NY","7 BEVAN ST","12047"
"1176","2030","COHOES CITY SCHOOL DISTRICT","SCHOOL DISTRICT","COHOES","ALBANY","ELEMENTARY","POINT (-73.7112 42.7714)",,,,,"010500","94","0.237","59","0.149","153","0.385","NORTHEASTERN NEW YORK","2010-2012","NY","7 BEVAN ST","12047"
"1176","2030","COHOES CITY SCHOOL DISTRICT","SCHOOL DISTRICT","COHOES","ALBANY","MIDDLE/HIGH","POINT (-73.7112 42.7714)",,,,,"010500","50","0.256","35","0.179","85","0.436","NORTHEASTERN NEW YORK","2010-2012","NY","7 BEVAN ST","12047"
"42","2030","SOUTH COLONIE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","ALBANY","ALBANY","DISTRICT TOTAL","POINT (-73.8394 42.7316)",,,,,"010601","222","0.146","243","0.16","465","0.307","NORTHEASTERN NEW YORK","2010-2012","NY","102 LORALEE DR","12205"
"42","2030","SOUTH COLONIE CENTRAL SCHOOL DISTRICT","SCHOOL DISTRICT","ALBANY","ALBANY","ELEMENTARY","POINT (-73.8394 42.7316)",,,,,"010601","161","0.17","156","0.165","317","0.335","NORTHEASTERN NEW YORK","2010-2012","NY","102 LORALEE DR","12205"
