LOCATION CODE,COUNTY,AREA NAME,REGION,SCHOOL YEARS,NO. OVERWEIGHT,PCT OVERWEIGHT,NO. OBESE,PCT OBESE,NO. OVERWEIGHT OR OBESE,PCT OVERWEIGHT OR OBESE,GRADE LEVEL,AREA TYPE,STREET ADDRESS,CITY,STATE,ZIP CODE,Location 1
000000,N/A,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2012-2014,83095,16.7%,86016,17.3%,169111,33.9%,DISTRICT TOTAL,STATEWIDE,,,,,
000000,N/A,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2012-2014,47868,16.4%,49140,16.8%,97008,33.1%,ELEMENTARY,STATEWIDE,,,,,
000000,N/A,STATEWIDE (EXCLUDING NYC),STATEWIDE (EXCLUDING NYC),2012-2014,34144,17.1%,36033,18.1%,70177,35.2%,MIDDLE/HIGH,STATEWIDE,,,,,
100000,N/A,CENTRAL NEW YORK,CENTRAL NEW YORK,2012-2014,11140,17.1%,12714,19.6%,23854,36.7%,DISTRICT TOTAL,REGION,,,,,
100000,N/A,CENTRAL NEW YORK,CENTRAL NEW YORK,2012-2014,6678,16.8%,7367,18.6%,14045,35.4%,ELEMENTARY,REGION,,,,,
100000,N/A,CENTRAL NEW YORK,CENTRAL NEW YORK,2012-2014,4336,17.3%,5341,21.3%,9677,38.6%,MIDDLE/HIGH,REGION,,,,,
200000,N/A,FINGER LAKES,FINGER LAKES,2012-2014,8802,16.4%,8639,16.1%,17441,32.5%,DISTRICT TOTAL,REGION,,,,,
200000,N/A,FINGER LAKES,FINGER LAKES,2012-2014,4731,16.2%,4556,15.6%,9287,31.8%,ELEMENTARY,REGION,,,,,
200000,N/A,FINGER LAKES,FINGER LAKES,2012-2014,3644,17.4%,3614,17.3%,7258,34.7%,MIDDLE/HIGH,REGION,,,,,
300000,N/A,HUDSON VALLEY,HUDSON VALLEY,2012-2014,16646,16.9%,15883,16.1%,32529,33%,DISTRICT TOTAL,REGION,,,,,
300000,N/A,HUDSON VALLEY,HUDSON VALLEY,2012-2014,10093,17%,9416,15.8%,19509,32.8%,ELEMENTARY,REGION,,,,,
300000,N/A,HUDSON VALLEY,HUDSON VALLEY,2012-2014,6481,16.6%,6468,16.6%,12949,33.1%,MIDDLE/HIGH,REGION,,,,,
400000,N/A,NASSAU-SUFFOLK,NASSAU-SUFFOLK,2012-2014,23437,16.4%,24249,16.9%,47686,33.3%,DISTRICT TOTAL,REGION,,,,,
400000,N/A,NASSAU-SUFFOLK,NASSAU-SUFFOLK,2012-2014,13211,15.9%,14576,17.5%,27787,33.4%,ELEMENTARY,REGION,,,,,
400000,N/A,NASSAU-SUFFOLK,NASSAU-SUFFOLK,2012-2014,10079,17.1%,9640,16.4%,19719,33.5%,MIDDLE/HIGH,REGION,,,,,
500000,N/A,NEW YORK - PENN,NEW YORK - PENN,2012-2014,2334,17.1%,2660,19.5%,4994,36.6%,DISTRICT TOTAL,REGION,,,,,
500000,N/A,NEW YORK - PENN,NEW YORK - PENN,2012-2014,1401,17.3%,1433,17.7%,2834,35%,ELEMENTARY,REGION,,,,,
500000,N/A,NEW YORK - PENN,NEW YORK - PENN,2012-2014,930,16.8%,1246,22.6%,2176,39.4%,MIDDLE/HIGH,REGION,,,,,
600000,N/A,NORTHEASTERN NEW YORK,NORTHEASTERN NEW YORK,2012-2014,9776,16.5%,10545,17.8%,20321,34.4%,DISTRICT TOTAL,REGION,,,,,
600000,N/A,NORTHEASTERN NEW YORK,NORTHEASTERN NEW YORK,2012-2014,5576,16.2%,5736,16.7%,11312,33%,ELEMENTARY,REGION,,,,,
600000,N/A,NORTHEASTERN NEW YORK,NORTHEASTERN NEW YORK,2012-2014,3970,16.6%,4572,19.1%,8542,35.7%,MIDDLE/HIGH,REGION,,,,,
700000,N/A,WESTERN NEW YORK,WESTERN NEW YORK,2012-2014,10960,16.8%,11326,17.4%,22286,34.2%,DISTRICT TOTAL,REGION,,,,,
700000,N/A,WESTERN NEW YORK,WESTERN NEW YORK,2012-2014,6178,15.9%,6056,15.6%,12234,31.6%,ELEMENTARY,REGION,,,,,
700000,N/A,WESTERN NEW YORK,WESTERN NEW YORK,2012-2014,4704,18%,5152,19.7%,9856,37.7%,MIDDLE/HIGH,REGION,,,,,
000001,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2012-2014,1553,15.5%,1701,17%,3254,32.6%,DISTRICT TOTAL,COUNTY,,,,,
000001,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2012-2014,915,15.5%,987,16.8%,1902,32.3%,ELEMENTARY,COUNTY,,,,,
000001,ALBANY,ALBANY,NORTHEASTERN NEW YORK,2012-2014,598,15%,656,16.4%,1254,31.4%,MIDDLE/HIGH,COUNTY,,,,,
000002,ALLEGANY,ALLEGANY,WESTERN NEW YORK,2012-2014,368,15.2%,416,17.2%,784,32.4%,DISTRICT TOTAL,COUNTY,,,,,
000002,ALLEGANY,ALLEGANY,WESTERN NEW YORK,2012-2014,214,14.4%,220,14.8%,434,29.1%,ELEMENTARY,COUNTY,,,,,
000002,ALLEGANY,ALLEGANY,WESTERN NEW YORK,2012-2014,130,15.7%,158,19.1%,288,34.8%,MIDDLE/HIGH,COUNTY,,,,,
000003,BROOME,BROOME,NEW YORK - PENN,2012-2014,1482,16.5%,1741,19.4%,3223,36%,DISTRICT TOTAL,COUNTY,,,,,
000003,BROOME,BROOME,NEW YORK - PENN,2012-2014,892,16.7%,930,17.4%,1822,34.2%,ELEMENTARY,COUNTY,,,,,
000003,BROOME,BROOME,NEW YORK - PENN,2012-2014,587,16.3%,811,22.5%,1398,38.8%,MIDDLE/HIGH,COUNTY,,,,,
000004,CATTARAUGUS,CATTARAUGUS,WESTERN NEW YORK,2012-2014,873,17.2%,994,19.6%,1867,36.9%,DISTRICT TOTAL,COUNTY,,,,,
000004,CATTARAUGUS,CATTARAUGUS,WESTERN NEW YORK,2012-2014,551,17.2%,571,17.8%,1122,35%,ELEMENTARY,COUNTY,,,,,
000004,CATTARAUGUS,CATTARAUGUS,WESTERN NEW YORK,2012-2014,292,16%,413,22.6%,705,38.6%,MIDDLE/HIGH,COUNTY,,,,,
000005,CAYUGA,CAYUGA,CENTRAL NEW YORK,2012-2014,538,15.3%,755,21.4%,1293,36.7%,DISTRICT TOTAL,COUNTY,,,,,
000005,CAYUGA,CAYUGA,CENTRAL NEW YORK,2012-2014,354,15%,503,21.3%,857,36.4%,ELEMENTARY,COUNTY,,,,,
000005,CAYUGA,CAYUGA,CENTRAL NEW YORK,2012-2014,207,15.9%,280,21.5%,487,37.5%,MIDDLE/HIGH,COUNTY,,,,,
000006,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2012-2014,1123,16.9%,1285,19.3%,2408,36.2%,DISTRICT TOTAL,COUNTY,,,,,
000006,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2012-2014,636,15.6%,701,17.2%,1337,32.7%,ELEMENTARY,COUNTY,,,,,
000006,CHAUTAUQUA,CHAUTAUQUA,WESTERN NEW YORK,2012-2014,484,18.6%,575,22.1%,1059,40.7%,MIDDLE/HIGH,COUNTY,,,,,
000007,CHEMUNG,CHEMUNG,FINGER LAKES,2012-2014,514,17%,557,18.4%,1071,35.5%,DISTRICT TOTAL,COUNTY,,,,,
000007,CHEMUNG,CHEMUNG,FINGER LAKES,2012-2014,345,16.3%,398,18.8%,743,35.2%,ELEMENTARY,COUNTY,,,,,
000007,CHEMUNG,CHEMUNG,FINGER LAKES,2012-2014,169,18.8%,158,17.6%,327,36.5%,MIDDLE/HIGH,COUNTY,,,,,
000008,CHENANGO,CHENANGO,NEW YORK - PENN,2012-2014,433,18%,481,20%,914,38.1%,DISTRICT TOTAL,COUNTY,,,,,
000008,CHENANGO,CHENANGO,NEW YORK - PENN,2012-2014,257,18.3%,259,18.4%,516,36.8%,ELEMENTARY,COUNTY,,,,,
000008,CHENANGO,CHENANGO,NEW YORK - PENN,2012-2014,180,18%,241,24.1%,421,42.1%,MIDDLE/HIGH,COUNTY,,,,,
000009,CLINTON,CLINTON,NORTHEASTERN NEW YORK,2012-2014,564,18%,663,21.2%,1227,39.3%,DISTRICT TOTAL,COUNTY,,,,,
000009,CLINTON,CLINTON,NORTHEASTERN NEW YORK,2012-2014,340,17.6%,383,19.9%,723,37.5%,ELEMENTARY,COUNTY,,,,,
000009,CLINTON,CLINTON,NORTHEASTERN NEW YORK,2012-2014,220,18.7%,269,22.9%,489,41.6%,MIDDLE/HIGH,COUNTY,,,,,
000010,COLUMBIA,COLUMBIA,NORTHEASTERN NEW YORK,2012-2014,393,17.8%,414,18.7%,807,36.5%,DISTRICT TOTAL,COUNTY,,,,,
000010,COLUMBIA,COLUMBIA,NORTHEASTERN NEW YORK,2012-2014,203,15.8%,228,17.8%,431,33.6%,ELEMENTARY,COUNTY,,,,,
000010,COLUMBIA,COLUMBIA,NORTHEASTERN NEW YORK,2012-2014,167,18%,186,20.1%,353,38.1%,MIDDLE/HIGH,COUNTY,,,,,
000011,CORTLAND,CORTLAND,CENTRAL NEW YORK,2012-2014,417,18.2%,437,19.1%,854,37.3%,DISTRICT TOTAL,COUNTY,,,,,
